 102.,  701.60,    51.48,     0.7,     3.5,     2.0,   19.97,   14.49,    1.00,   31.61,  264.34
 104.,  744.00,    56.24,     0.7,     3.7,     2.2,   20.81,   15.18,    1.05,   32.84,  277.16
 106.,  745.20,    59.69,     0.7,     3.9,     2.2,   19.99,   15.52,    1.05,   33.49,  272.52
 108.,  684.93,    58.37,     0.7,     3.6,     2.0,   18.82,   14.91,    1.00,   31.93,  258.57
 110.,  704.00,    61.97,     0.7,     3.8,     2.1,   20.04,   15.61,    1.05,   33.09,  275.06
 112.,  714.00,    64.12,     0.7,     3.8,     2.1,   19.94,   15.61,    1.06,   33.03,  274.42
 114.,  692.27,    62.86,     0.7,     3.7,     2.0,   19.18,   15.29,    1.03,   32.11,  266.50
 116.,  739.73,    68.46,     0.7,     4.0,     2.1,   20.04,   16.28,    1.09,   34.18,  280.41
 118.,  699.33,    68.52,     0.7,     3.9,     1.9,   18.97,   15.95,    1.05,   33.61,  267.11
 120.,  676.00,    64.44,     0.7,     3.6,     1.8,   18.02,   14.97,    0.99,   31.43,  252.58
 122.,  693.20,    67.28,     0.7,     3.8,     2.0,   19.39,   15.32,    1.05,   32.11,  268.08
 124.,  709.07,    66.64,     0.7,     3.8,     2.1,   19.56,   15.32,    1.06,   31.89,  270.89
 126.,  700.27,    68.32,     0.7,     3.8,     2.0,   19.24,   15.33,    1.06,   31.80,  268.63
 128.,  665.07,    66.05,     0.7,     3.6,     1.8,   17.68,   14.64,    0.99,   30.39,  249.93
 130.,  669.07,    68.83,     0.7,     3.7,     1.9,   18.83,   15.00,    1.04,   31.02,  262.67
 132.,  706.93,    74.32,     0.7,     3.9,     2.1,   20.24,   16.03,    1.12,   32.87,  283.40
 134.,  694.93,    75.59,     0.7,     3.9,     2.1,   20.05,   16.05,    1.12,   32.76,  282.57
 136.,  685.87,    75.31,     0.7,     3.8,     2.1,   19.72,   15.71,    1.10,   32.04,  277.48
 138.,  682.53,    77.91,     0.7,     4.0,     2.1,   19.75,   16.05,    1.12,   32.70,  280.26
 140.,  695.73,    78.29,     0.7,     4.0,     2.0,   19.30,   16.36,    1.11,   33.09,  278.14
 142.,  687.07,    79.58,     0.7,     4.0,     2.1,   20.16,   16.36,    1.13,   33.11,  286.36
 144.,  685.87,    80.76,     0.7,     3.9,     2.1,   20.19,   16.37,    1.14,   32.99,  287.93
 146.,  714.67,    82.53,     0.7,     4.1,     2.1,   20.70,   17.02,    1.16,   33.70,  296.03
 148.,  718.93,    85.82,     0.7,     4.1,     2.1,   20.40,   17.03,    1.18,   34.50,  292.47
 150.,  672.67,    80.81,     0.7,     3.9,     2.0,   19.37,   16.41,    1.12,   32.95,  280.29
 152.,  715.07,    86.94,     0.7,     4.1,     2.1,   20.57,   17.41,    1.19,   35.08,  296.65
 154.,  660.00,    82.22,     0.7,     3.8,     2.0,   19.27,   16.44,    1.12,   33.12,  278.61
 156.,  658.27,    84.69,     0.7,     3.9,     2.0,   19.52,   16.38,    1.13,   33.38,  279.05
 158.,  638.40,    83.60,     0.7,     3.8,     1.9,   19.23,   16.04,    1.11,   32.68,  274.34
 160.,  634.80,    81.74,     0.7,     3.7,     1.9,   18.67,   15.36,    1.07,   31.32,  265.26
 162.,  599.73,    77.63,     0.6,     3.5,     1.8,   18.13,   14.66,    1.03,   29.78,  257.35
 164.,  623.33,    81.86,     0.7,     3.6,     1.8,   18.80,   15.02,    1.07,   30.66,  265.13
 166.,  605.87,    79.71,     0.6,     3.5,     1.7,   17.85,   14.78,    1.03,   29.90,  254.07
 168.,  586.80,    74.19,     0.6,     3.3,     1.6,   16.84,   13.99,    0.97,   28.46,  240.66
 170.,  603.60,    75.05,     0.6,     3.4,     1.6,   16.95,   13.99,    0.98,   28.48,  241.44
 172.,  588.53,    79.06,     0.6,     3.5,     1.6,   17.14,   14.29,    1.00,   29.41,  243.49
 174.,  606.40,    78.92,     0.6,     3.4,     1.6,   16.80,   14.32,    0.98,   29.33,  240.65
 176.,  581.20,    73.89,     0.6,     3.2,     1.4,   15.81,   13.64,    0.92,   27.92,  227.10
 178.,  556.13,    75.86,     0.6,     3.2,     1.6,   16.40,   13.31,    0.94,   27.49,  230.32
 180.,  565.20,    76.57,     0.6,     3.3,     1.6,   16.54,   13.31,    0.94,   27.44,  232.59
 182.,  510.67,    73.10,     0.6,     3.1,     1.4,   15.44,   13.02,    0.89,   26.55,  221.24
 184.,  513.60,    72.51,     0.5,     3.0,     1.5,   15.91,   13.01,    0.90,   26.30,  226.51
 186.,  489.87,    71.29,     0.5,     2.9,     1.4,   15.42,   12.36,    0.88,   25.41,  216.15
