9,9
1,2,3,4,5,6,7,8,9
4700.,1600,.1988,47.72,2,125.,212.,31.,6.,50.,20,.268,-12,2,2.79,219.77,.00179,-0.6,1.0,440.,.814,.078,1.0,1.
2500.,1100,.5013,76.40,1,250.,106.,43.,12.0,100.,120,.200,-18,4,2.94,117.52,.00234,-1.2,1.3,248.,.804,.069,0.8,1
5993.,1910,.2663,53.26,1,300.,82.0,631.,12.0,200.,20,.300,-4,4,2.94,117.52,.00234,-1.2,1.3,248.,.804,.069,0.8,1.
4571.,1910,.1495,44.84,1,300.,102.,63.,12.,200.,20,.300,-2,2,2.99,207.43,.00175,-5.0,2.9,440.,.814,.078,1.0,1.
5537.,1326,.2863,57.26,1,366.,72.0,172.,6.0,30.,40,.200 ,-12,8,2.94,117.52,.00234,-1.2,1.3,440.,.904,.095,1.0,1.
1911.,280,.7105,90.96,1,200.,132.,3,0,0,16,.309,-30,11,2.79,219.77,.00179,-0.6,1.0,440.,.804,.069,1.0,3.
3165.,1100,.1495,44.84,2,450.,68.,37,0,0,140,.310,-20,12,2.79,219.77,.00179,-0.6,1.0,440.,.804,.069,1.0,2.
3800.,1324,.1495,44.84,1,650.,47.,0.,0.,0.,8,.180,-12,6,2.79,219.77,.00179,-0.6,1.0,440.,.804,.069,1.0,3.
4571.,1100,.2863,57.26,1,400.,66.,32.0,12.0,40.0,40,.225,-17,9,2.94,117.52,.00234,-1.2,1.3,440.,.904,.095,1.0,1.


















