   0., 1709.87,     0.85,     0.4,     0.0,     0.4,    3.94,   17.09,    0.00,   74.00,    0.00
   0., 2325.73,     1.33,     0.7,     2.9,     0.7,    4.32,   17.09,    0.11,   74.76,    0.00
   0., 2657.47,     1.56,     1.0,     5.8,     1.0,    4.73,   17.14,    0.34,   77.24,    0.00
   0., 2718.93,     1.58,     1.0,     6.2,     1.0,    5.21,   17.26,    0.47,   79.72,    0.00
   8., 2624.13,     1.53,     1.0,     6.3,     1.0,    5.33,   17.39,    0.51,   82.06,    0.00
  10., 2670.13,     1.55,     1.0,     6.3,     1.0,    5.32,   17.52,    0.52,   84.27,    0.00
  12., 2678.00,     1.56,     1.0,     6.3,     1.0,    5.36,   17.64,    0.53,   86.50,    0.00
  14., 2627.47,     1.54,     1.0,     6.2,     1.0,    5.37,   17.75,    0.54,   88.74,    0.00
  16., 2699.33,     1.57,     1.0,     6.3,     1.0,    5.40,   17.86,    0.54,   90.97,    0.00
  18., 2667.87,     1.56,     1.0,     6.3,     1.0,    5.41,   17.96,    0.54,   93.21,    0.00
  20., 2656.53,     1.55,     1.0,     6.3,     1.0,    5.42,   18.06,    0.54,   95.46,    0.00
  22., 2592.80,     1.52,     1.0,     6.2,     1.0,    5.39,   18.15,    0.54,   97.66,    0.00
  24., 2561.87,     1.51,     0.9,     6.1,     0.9,    5.36,   18.24,    0.54,   99.83,    0.00
  26., 2644.67,     1.55,     1.0,     6.1,     1.0,    5.36,   18.33,    0.54,  102.03,    0.00
  28., 2639.87,     1.55,     1.0,     6.2,     1.0,    5.35,   18.41,    0.54,  104.30,    0.00
  30., 2608.53,     1.54,     1.0,     6.2,     1.0,    5.34,   18.49,    0.55,  106.58,    0.00
  32., 2637.60,     1.54,     1.0,     6.2,     1.0,    5.34,   18.57,    0.54,  108.85,    0.00
  34., 2716.27,     1.58,     1.0,     6.2,     1.0,    5.36,   18.65,    0.54,  111.13,    0.00
  36., 2674.67,     1.56,     1.0,     6.3,     1.0,    5.38,   18.72,    0.55,  113.43,    0.00
  38., 2699.73,     1.57,     1.0,     6.3,     1.0,    5.39,   18.79,    0.55,  115.73,    0.00
  40., 2734.80,     1.59,     1.0,     6.3,     1.0,    5.41,   18.86,    0.55,  118.03,    0.00
  42., 2652.27,     1.55,     1.0,     6.4,     1.0,    5.41,   18.92,    0.55,  120.35,    0.00
  44., 2648.13,     1.55,     1.0,     6.3,     1.0,    5.39,   18.99,    0.55,  122.63,    0.00
  46., 2702.27,     1.57,     1.0,     6.2,     1.0,    5.38,   19.05,    0.55,  124.88,    0.00
  48., 2668.80,     1.56,     1.0,     6.3,     1.0,    5.38,   19.11,    0.55,  127.17,    0.00
  50., 2639.33,     1.54,     1.0,     6.2,     1.0,    5.37,   19.17,    0.55,  129.44,    0.00
  52., 2665.33,     1.55,     1.0,     6.2,     1.0,    5.37,   19.22,    0.54,  131.70,    0.00
  54., 2698.80,     1.56,     1.0,     6.3,     1.0,    5.39,   19.27,    0.54,  133.97,    0.00
  56., 2684.40,     1.55,     1.0,     6.2,     1.0,    5.38,   19.32,    0.55,  136.24,    0.00
  58., 2704.53,     1.56,     1.0,     6.3,     1.0,    5.40,   19.37,    0.55,  138.51,    0.00
  60., 2694.40,     1.56,     1.0,     6.3,     1.0,    5.38,   19.42,    0.55,  140.81,    0.00
  62., 2723.60,     1.58,     1.0,     6.4,     1.0,    5.40,   19.47,    0.55,  143.10,    0.00
  64., 2682.80,     1.57,     1.0,     6.3,     1.0,    5.38,   19.52,    0.55,  145.40,    0.00
  66., 2646.93,     1.56,     1.0,     6.3,     1.0,    5.40,   19.56,    0.55,  147.69,    0.00
  68., 2695.87,     1.58,     1.0,     6.2,     1.0,    5.39,   19.61,    0.55,  149.98,    0.00
  70., 2650.13,     1.56,     1.0,     6.2,     1.0,    5.40,   19.65,    0.56,  152.30,    0.00
  72., 2686.13,     1.57,     1.0,     6.2,     1.0,    5.41,   19.70,    0.55,  154.59,    0.00
  74., 2726.40,     1.59,     1.0,     6.3,     1.0,    5.40,   19.74,    0.55,  156.90,    0.00
  76., 2707.47,     1.57,     1.0,     6.3,     1.0,    5.39,   19.78,    0.55,  159.19,    0.00
  78., 2679.73,     1.56,     1.0,     6.4,     1.0,    5.38,   19.82,    0.55,  161.49,    0.00
  80., 2645.47,     1.55,     1.0,     6.3,     1.0,    5.39,   19.86,    0.55,  163.76,    0.00
  82., 2694.53,     1.57,     1.0,     6.3,     1.0,    5.37,   19.90,    0.55,  166.04,    0.00
  84., 2669.73,     1.56,     1.0,     6.3,     1.0,    5.36,   19.93,    0.55,  168.33,    0.00
  86., 2668.80,     1.55,     1.0,     6.3,     1.0,    5.36,   19.97,    0.55,  170.60,    0.00
  88., 2716.93,     1.57,     1.0,     6.3,     1.0,    5.37,   20.00,    0.55,  172.87,    0.00
  90., 2695.73,     1.56,     1.0,     6.3,     1.0,    5.36,   20.03,    0.55,  175.14,    0.00
  92., 2683.07,     1.56,     1.0,     6.3,     1.0,    5.37,   20.07,    0.55,  177.40,    0.00
  94., 2709.73,     1.58,     1.0,     6.3,     1.0,    5.38,   20.10,    0.55,  179.67,    0.00
  96., 2663.47,     1.55,     1.0,     6.3,     1.0,    5.37,   20.13,    0.55,  181.95,    0.00
  98., 2668.00,     1.55,     1.0,     6.3,     1.0,    5.41,   20.16,    0.55,  184.18,    0.00
 100., 2676.93,     1.55,     1.0,     6.3,     1.0,    5.39,   20.19,    0.54,  186.43,    0.00
 102., 2634.00,     1.54,     1.0,     6.3,     1.0,    5.38,   20.22,    0.55,  188.68,    0.00
 104., 2628.00,     1.52,     0.9,     6.2,     0.9,    5.37,   20.25,    0.54,  190.90,    0.00
 106., 2602.27,     1.51,     0.9,     6.2,     0.9,    5.36,   20.27,    0.54,  193.10,    0.00
 108., 2650.00,     1.53,     1.0,     6.2,     1.0,    5.33,   20.30,    0.54,  195.29,    0.00
 110., 2649.47,     1.53,     0.9,     6.1,     0.9,    5.36,   20.33,    0.54,  197.50,    0.00
 112., 2610.40,     1.52,     0.9,     6.2,     0.9,    5.36,   20.35,    0.53,  199.70,    0.00
 114., 2618.00,     1.52,     0.9,     6.2,     0.9,    5.35,   20.37,    0.53,  201.89,    0.00
 116., 2620.13,     1.52,     0.9,     6.2,     0.9,    5.38,   20.40,    0.53,  204.10,    0.00
 118., 2595.60,     1.51,     0.9,     6.1,     0.9,    5.33,   20.42,    0.54,  206.29,    0.00
 120., 2585.60,     1.51,     0.9,     6.1,     0.9,    5.33,   20.44,    0.53,  208.47,    0.00
 122., 2546.67,     1.48,     0.9,     6.1,     0.9,    5.35,   20.47,    0.53,  210.65,    0.00
 124., 2612.53,     1.52,     0.9,     6.0,     0.9,    5.33,   20.49,    0.53,  212.81,    0.00
 126., 2611.47,     1.52,     1.0,     6.1,     1.0,    5.34,   20.51,    0.53,  215.03,    0.00
 128., 2596.80,     1.51,     1.0,     6.1,     1.0,    5.35,   20.53,    0.53,  217.23,    0.00
 130., 2644.93,     1.55,     1.0,     6.1,     1.0,    5.36,   20.56,    0.54,  219.46,    0.00
 132., 2580.93,     1.52,     1.0,     6.2,     1.0,    5.39,   20.58,    0.54,  221.72,    0.00
 134., 2598.67,     1.53,     1.0,     6.2,     1.0,    5.38,   20.60,    0.54,  223.94,    0.00
 136., 2715.07,     1.58,     1.0,     6.2,     1.0,    5.37,   20.62,    0.54,  226.18,    0.00
 138., 2703.47,     1.57,     1.0,     6.4,     1.0,    5.39,   20.64,    0.55,  228.50,    0.00
 140., 2699.20,     1.57,     1.0,     6.3,     1.0,    5.39,   20.67,    0.55,  230.78,    0.00
 142., 2651.87,     1.54,     1.0,     6.3,     1.0,    5.41,   20.69,    0.55,  233.04,    0.00
 144., 2685.60,     1.56,     1.0,     6.2,     1.0,    5.35,   20.71,    0.54,  235.28,    0.00
 146., 2667.73,     1.56,     1.0,     6.3,     1.0,    5.41,   20.73,    0.55,  237.57,    0.00
 148., 2671.60,     1.56,     1.0,     6.2,     1.0,    5.40,   20.75,    0.55,  239.83,    0.00
 150., 2672.40,     1.56,     1.0,     6.2,     1.0,    5.41,   20.77,    0.55,  242.10,    0.00
 152., 2692.00,     1.56,     1.0,     6.3,     1.0,    5.38,   20.79,    0.55,  244.36,    0.00
 154., 2680.00,     1.56,     1.0,     6.2,     1.0,    5.38,   20.81,    0.55,  246.64,    0.00
 156., 2652.13,     1.54,     1.0,     6.3,     1.0,    5.42,   20.83,    0.55,  248.94,    0.00
 158., 2678.80,     1.55,     1.0,     6.3,     1.0,    5.40,   20.84,    0.54,  251.19,    0.00
 160., 2714.93,     1.58,     1.0,     6.3,     1.0,    5.41,   20.86,    0.55,  253.47,    0.00
 162., 2681.47,     1.56,     1.0,     6.4,     1.0,    5.41,   20.88,    0.55,  255.80,    0.00
 164., 2716.93,     1.57,     1.0,     6.3,     1.0,    5.40,   20.90,    0.55,  258.05,    0.00
 166., 2752.80,     1.59,     1.0,     6.3,     1.0,    5.39,   20.91,    0.55,  260.34,    0.00
 168., 2704.27,     1.57,     1.0,     6.3,     1.0,    5.39,   20.93,    0.55,  262.65,    0.00
 170., 2671.47,     1.56,     1.0,     6.3,     1.0,    5.38,   20.95,    0.55,  264.91,    0.00
 172., 2679.20,     1.55,     1.0,     6.2,     1.0,    5.36,   20.96,    0.55,  267.14,    0.00
 174., 2642.13,     1.54,     1.0,     6.2,     1.0,    5.38,   20.98,    0.54,  269.38,    0.00
 176., 2643.33,     1.53,     1.0,     6.2,     1.0,    5.38,   20.99,    0.54,  271.61,    0.00
 178., 2605.33,     1.52,     0.9,     6.2,     0.9,    5.36,   21.01,    0.54,  273.83,    0.00
 180., 2634.27,     1.53,     1.0,     6.2,     1.0,    5.34,   21.02,    0.54,  276.03,    0.00
 182., 2618.67,     1.53,     1.0,     6.2,     1.0,    5.36,   21.04,    0.54,  278.26,    0.00
 184., 2649.60,     1.55,     1.0,     6.2,     1.0,    5.37,   21.05,    0.54,  280.49,    0.00
 186., 2708.80,     1.57,     1.0,     6.2,     1.0,    5.35,   21.06,    0.54,  282.75,    0.00
 188., 2755.07,     1.59,     1.0,     6.3,     1.0,    5.41,   21.08,    0.55,  285.04,    0.00
 190., 2644.13,     1.54,     1.0,     6.3,     1.0,    5.39,   21.09,    0.55,  287.34,    0.00
 192., 2701.33,     1.57,     1.0,     6.3,     1.0,    5.40,   21.11,    0.55,  289.59,    0.00
 194., 2649.33,     1.54,     1.0,     6.3,     1.0,    5.37,   21.12,    0.54,  291.84,    0.00
 196., 2665.47,     1.55,     1.0,     6.2,     1.0,    5.39,   21.13,    0.54,  294.05,    0.00
 198., 2671.73,     1.55,     1.0,     6.2,     1.0,    5.37,   21.15,    0.54,  296.29,    0.00
 200., 2642.00,     1.55,     1.0,     6.3,     1.0,    5.40,   21.16,    0.55,  298.56,    0.00
 202., 2680.53,     1.56,     1.0,     6.2,     1.0,    5.38,   21.17,    0.55,  300.84,    0.00
 204., 2655.20,     1.55,     1.0,     6.3,     1.0,    5.40,   21.19,    0.55,  303.12,    0.00
 206., 2710.80,     1.57,     1.0,     6.3,     1.0,    5.42,   21.20,    0.55,  305.38,    0.00
 208., 2689.07,     1.56,     1.0,     6.3,     1.0,    5.40,   21.21,    0.55,  307.67,    0.00
 210., 2717.60,     1.58,     1.0,     6.3,     1.0,    5.39,   21.23,    0.55,  309.96,    0.00
 212., 2634.80,     1.54,     1.0,     6.3,     1.0,    5.35,   21.24,    0.55,  312.22,    0.00
 214., 2700.80,     1.57,     1.0,     6.2,     1.0,    5.38,   21.25,    0.54,  314.45,    0.00
 216., 2636.13,     1.54,     1.0,     6.3,     1.0,    5.35,   21.26,    0.55,  316.73,    0.00
 218., 2664.80,     1.56,     1.0,     6.2,     1.0,    5.37,   21.27,    0.55,  318.99,    0.00
 220., 2658.93,     1.54,     1.0,     6.2,     1.0,    5.37,   21.28,    0.54,  321.23,    0.00
 222., 2681.07,     1.55,     1.0,     6.3,     1.0,    5.38,   21.29,    0.54,  323.46,    0.00
 224., 2658.00,     1.54,     1.0,     6.3,     1.0,    5.37,   21.31,    0.54,  325.71,    0.00
 226., 2650.13,     1.54,     1.0,     6.3,     1.0,    5.36,   21.32,    0.54,  327.96,    0.00
 228., 2661.07,     1.55,     1.0,     6.2,     1.0,    5.34,   21.33,    0.54,  330.18,    0.00
 230., 2631.87,     1.54,     1.0,     6.2,     1.0,    5.38,   21.34,    0.54,  332.42,    0.00
 232., 2665.33,     1.54,     1.0,     6.2,     1.0,    5.37,   21.35,    0.54,  334.64,    0.00
 234., 2668.40,     1.55,     1.0,     6.2,     1.0,    5.36,   21.36,    0.54,  336.87,    0.00
 236., 2627.20,     1.53,     1.0,     6.2,     1.0,    5.37,   21.37,    0.54,  339.13,    0.00
 238., 2627.47,     1.53,     1.0,     6.2,     1.0,    5.37,   21.38,    0.54,  341.35,    0.00
 240., 2720.67,     1.58,     1.0,     6.2,     1.0,    5.37,   21.39,    0.54,  343.59,    0.00
 242., 2689.33,     1.57,     1.0,     6.3,     1.0,    5.39,   21.40,    0.55,  345.88,    0.00
 244., 2672.40,     1.56,     1.0,     6.3,     1.0,    5.39,   21.41,    0.55,  348.17,    0.00
 246., 2641.07,     1.55,     1.0,     6.2,     1.0,    5.37,   21.42,    0.55,  350.42,    0.00
 248., 2697.07,     1.58,     1.0,     6.2,     1.0,    5.38,   21.43,    0.55,  352.68,    0.00
 250., 2744.27,     1.60,     1.0,     6.4,     1.0,    5.40,   21.44,    0.55,  355.00,    0.00
 252., 2639.87,     1.55,     1.0,     6.3,     1.0,    5.37,   21.45,    0.56,  357.33,    0.00
 254., 2622.80,     1.54,     1.0,     6.2,     1.0,    5.38,   21.46,    0.55,  359.58,    0.00
 256., 2613.33,     1.53,     1.0,     6.2,     1.0,    5.37,   21.47,    0.54,  361.82,    0.00
 258., 2664.93,     1.54,     1.0,     6.2,     1.0,    5.37,   21.48,    0.54,  364.06,    0.00
